,action,value
2021-06-14,DIVIDEND,0.25
2021-03-16,DIVIDEND,0.25
2020-12-14,DIVIDEND,0.25
2020-09-14,DIVIDEND,0.25
2020-06-12,DIVIDEND,0.25
2020-03-13,DIVIDEND,0.25
2019-12-13,DIVIDEND,0.25
2019-09-13,DIVIDEND,0.25
2019-06-14,DIVIDEND,0.25
2019-03-15,DIVIDEND,0.25
2018-12-14,DIVIDEND,0.25
2018-09-14,DIVIDEND,0.25
2018-06-15,DIVIDEND,0.25
2018-03-16,DIVIDEND,0.25
2017-12-15,DIVIDEND,0.25
2017-09-15,DIVIDEND,0.25
2017-06-14,DIVIDEND,0.25
2017-03-13,DIVIDEND,0.25
2016-12-15,DIVIDEND,0.25
2016-09-15,DIVIDEND,0.25
