,action,value
2021-06-25,DIVIDEND,0.08
2021-03-05,DIVIDEND,0.08
2020-12-18,DIVIDEND,0.08
2020-09-25,DIVIDEND,0.08
2020-06-26,DIVIDEND,0.08
2020-03-06,DIVIDEND,0.08
2019-12-20,DIVIDEND,0.08
2019-09-13,DIVIDEND,0.08
2019-06-28,DIVIDEND,0.08
2019-03-08,DIVIDEND,0.08
2018-12-19,DIVIDEND,0.076923
2018-09-14,DIVIDEND,0.923077
2018-06-15,DIVIDEND,0.923077
2018-02-23,DIVIDEND,0.923077
2017-12-26,DIVIDEND,0.923077
2017-09-15,DIVIDEND,1.846154
2017-06-15,DIVIDEND,1.846154
2017-02-23,DIVIDEND,1.846154
2016-12-22,DIVIDEND,1.846154
2016-09-15,DIVIDEND,1.769231
