,action,value
2021-07-09,DIVIDEND,0.42
2021-04-09,DIVIDEND,0.42
2021-01-08,DIVIDEND,0.42
2020-10-09,DIVIDEND,0.4
2020-10-08,DIVIDEND,0.4
2020-07-09,DIVIDEND,0.4
2020-04-09,DIVIDEND,0.4
2020-01-09,DIVIDEND,0.4
2019-10-09,DIVIDEND,0.37
2019-07-09,DIVIDEND,0.37
2019-04-09,DIVIDEND,0.37
2019-01-09,DIVIDEND,0.37
2018-10-09,DIVIDEND,0.33
2018-07-09,DIVIDEND,0.33
2018-04-09,DIVIDEND,0.33
2018-01-09,DIVIDEND,0.33
2017-10-09,DIVIDEND,0.29
2017-10-06,DIVIDEND,0.29
2017-07-06,DIVIDEND,0.29
2017-04-06,DIVIDEND,0.29
2017-01-06,DIVIDEND,0.29
2016-10-06,DIVIDEND,0.25
2016-10-05,DIVIDEND,0.25
