,action,value
2021-06-29,SPLIT,0.3333333333333333
2021-05-27,DIVIDEND,0.09333
2021-02-25,DIVIDEND,0.09333
2020-11-27,DIVIDEND,0.08667
2020-08-28,DIVIDEND,0.08667
2020-05-28,DIVIDEND,0.08667
2020-02-27,DIVIDEND,0.08667
2019-11-27,DIVIDEND,0.08
2019-08-29,DIVIDEND,0.08
2019-05-30,DIVIDEND,0.08
2019-02-27,DIVIDEND,0.08
2018-11-29,DIVIDEND,0.07333
2018-08-30,DIVIDEND,0.07333
2018-05-30,DIVIDEND,0.07333
2018-02-28,DIVIDEND,0.07333
2017-11-29,DIVIDEND,0.06667
2017-08-29,DIVIDEND,0.06667
2017-05-26,DIVIDEND,0.06667
2017-02-24,DIVIDEND,0.06
2016-11-28,DIVIDEND,0.06
