,action,value
2021-05-06,DIVIDEND,0.348
2021-02-04,DIVIDEND,0.348
2020-11-05,DIVIDEND,0.33
2020-08-06,DIVIDEND,0.33
2020-05-06,DIVIDEND,0.33
2020-02-06,DIVIDEND,0.33
2019-11-06,DIVIDEND,0.315
2019-08-06,DIVIDEND,0.315
2019-05-06,DIVIDEND,0.315
2019-02-06,DIVIDEND,0.315
2018-11-06,DIVIDEND,0.3
2018-08-06,DIVIDEND,0.3
2018-05-04,DIVIDEND,0.3
2018-02-06,DIVIDEND,0.3
2017-11-06,DIVIDEND,0.273
2017-08-03,DIVIDEND,0.273
2017-05-03,DIVIDEND,0.273
2017-02-03,DIVIDEND,0.26
2016-11-03,DIVIDEND,0.26
