,action,value
2021-07-29,DIVIDEND,0.3
2021-05-27,DIVIDEND,0.3
2021-02-26,DIVIDEND,0.3
2020-11-27,DIVIDEND,0.3
2020-07-30,DIVIDEND,0.3
2020-05-28,DIVIDEND,0.3
2020-02-27,DIVIDEND,0.3
2019-11-27,DIVIDEND,0.3
2019-07-30,DIVIDEND,0.3
2019-06-03,SPLIT,2.1164021164021163
2019-05-02,DIVIDEND,0.14
2019-04-25,DIVIDEND,0.42
2019-04-02,SPLIT,0.6724949562878278
2019-02-27,DIVIDEND,1.14
2018-11-29,DIVIDEND,1.14
2018-08-30,DIVIDEND,1.14
2018-05-30,DIVIDEND,1.14
2018-02-27,DIVIDEND,1.14
2017-11-14,DIVIDEND,1.14
2017-07-27,DIVIDEND,1.38
2017-06-28,DIVIDEND,1.38
2017-03-29,DIVIDEND,1.38
2016-12-23,DIVIDEND,1.38
2016-09-28,DIVIDEND,1.38
