,action,value
2021-06-14,DIVIDEND,0.68
2021-03-12,DIVIDEND,0.68
2020-12-14,DIVIDEND,0.68
2020-09-14,DIVIDEND,0.68
2020-06-12,DIVIDEND,0.68
2020-03-12,DIVIDEND,0.68
2019-12-12,DIVIDEND,0.67
2019-09-12,DIVIDEND,0.67
2019-06-13,DIVIDEND,0.67
2019-03-14,DIVIDEND,0.67
2018-12-13,DIVIDEND,0.6
2018-09-13,DIVIDEND,0.6
2018-06-14,DIVIDEND,0.34
2018-03-14,DIVIDEND,0.3
2017-12-14,DIVIDEND,0.3
2017-09-14,DIVIDEND,0.3
2017-06-13,DIVIDEND,0.26
2017-03-13,DIVIDEND,0.23
2016-12-13,DIVIDEND,0.23
2016-09-13,DIVIDEND,0.23
